"genbank_accession","species","temperature_optimum","temperature_min","temperature_max","reported_temperature_optimum","reported_temperature_max","reported_temperature_min","partition_temperature"
"GCA_900105015","Pauljensenia meyeri",31.9552380406458,18.1250540752355,40.669984864273,33.5,45,25,"train"
"GCA_000421225","Ruania albidiflava",30.3710895925538,14.0438558987995,40.7189129365334,28,37,20,"train"
"GCA_002259795","Bifidobacterium aquikefiri",19.6812451034698,6.40484906866891,28.6720730107673,28,37,4,"train"
"GCA_014898155","Bifidobacterium eulemuris",32.4275121647263,18.3603728884696,41.7432956462553,39.5,47,30,"train"
"GCA_000771525","Bifidobacterium mongoliense",24.1806282531416,10.6510757850957,34.3862582239519,27.5,37,15,"train"
"GCA_002259745","Bifidobacterium myosotis",27.8040219066476,14.6644611029834,37.8206145572104,40,46,25,"train"
"GCA_014635685","Galliscardovia ingluviei",31.5151133291979,17.9516606293141,40.7542184903857,39,49,15,"train"
"GCA_002259645","Galliscardovia tissieri",25.6621373085929,10.8056736639109,34.5310410475692,35,40,25,"train"
"GCA_000426445","Brevibacterium album",24.2923459787913,7.20779326507008,33.7706739399095,35.5,45,28,"train"
"GCA_000767165","Actinotalea bogoriensis",31.4446192686845,14.9512018341849,40.4499083684411,30.75,37,20,"train"
"GCA_016464425","Actinotalea solisilvae",32.4045299673514,15.8851694703971,40.5283089254844,29,40,10,"train"
"GCA_016862675","Cellulomonas chitinilytica",27.6376728922059,12.8315776350716,36.0968810667075,26.5,30,4,"train"
"GCA_000092865","Cellulomonas flavigena",31.1952853474105,16.6439684708763,40.182326243351,29,42,26,"train"
"GCA_016862715","Cellulomonas marina",29.3658752716108,12.41194767223,38.2584792214643,26.5,37,4,"train"
"GCA_016862735","Cellulomonas oligotrophica",28.787443388034,13.5863205945779,38.1309897487264,26,37,15,"train"
"GCA_001570825","Cellulosimicrobium funkei",32.5975138739722,17.9865038837172,42.1011874514695,28,42,22,"train"
"GCA_014803435","Cellulosimicrobium terreum",29.6796601211192,14.7169603552257,38.861891859719,25,34,4,"train"
"GCA_900167525","Isoptericola flavus",34.4996959331217,18.1256500357235,43.9761874453978,27.6666666666667,40,10,"train"
"GCA_003814695","Myceligenerans xiligouense",28.6581961312066,14.7358555099779,38.6714539791486,26.5,50,4,"train"
"GCA_016907235","Oerskovia jenensis",28.2575329008449,14.1164388562323,36.8166860615561,28,37,26,"train"
"GCA_002564005","Sanguibacter antarcticus",20.5361761463846,6.45076017952556,28.3963178068762,26.25,30,4,"train"
"GCA_000975075","Demequina lutea",27.6690820255805,13.4684554610666,36.8572869130125,22.5,30,4,"train"
"GCA_014204755","Brachybacterium aquaticum",26.9189945356619,10.5842026931492,36.5994539089904,30,37,20,"test"
"GCA_003352835","Ornithinicoccus muralis",26.9614964158384,11.1706136127848,36.2297830592826,22.5,30,15,"train"
"GCA_014395645","Phycicoccus endophyticus",33.7695890796192,18.0984082936427,42.9841896952694,37,42,20,"train"
"GCA_004153545","Serinicoccus sediminis",33.8406304957186,16.6656076963737,43.4343772873668,32.5,45,4,"train"
"GCA_007991735","Terrabacter aerolatus",27.4169270966948,13.2936588727483,36.0644089627528,30,35,5,"train"
"GCA_021129305","Kineosporia babensis",28.8253053033412,15.664136774037,37.3945968207486,19,28,10,"train"
"GCA_900099705","Agrococcus jejuensis",30.0251540046342,13.2187956094004,38.1524558501839,30,37,10,"train"
"GCA_014645655","Agromyces bauzanensis",30.4855876610976,16.3560566059809,39.0367274491819,27.5,37,25,"train"
"GCA_009749405","Agromyces lapidis",27.5296716187637,11.9792137033508,35.9580921733256,28,37,10,"train"
"GCA_000421565","Agromyces subbeticus",24.1155679998197,9.2944265719825,32.7510200949051,24.75,37,6,"train"
"GCA_004364555","Amnibacterium kyonggiense",29.78781455972,15.6234397355895,38.8456060919923,30,37,10,"train"
"GCA_014200395","Chryseoglobus frigidaquae",30.1296506521127,15.4368812079547,38.9504207631057,30,40,20,"train"
"GCA_004310685","Conyzicola arctica",19.1504420571185,5.09798905841175,27.4155728335861,17.5,28,4,"train"
"GCA_014639655","Conyzicola nivalis",18.5256717613167,3.78327454208083,26.7980868915614,14,40,0,"train"
"GCA_002954245","Cryobacterium aureum",16.2379098246961,0.927277537978952,24.1831980032566,11,18,0,"train"
"GCA_007992355","Cryobacterium levicorallinum",19.0346460321927,3.89309503253647,26.5801423389199,11,18,0,"train"
"GCA_003602235","Cryobacterium melibiosiphilum",14.8508932392898,0,23.2348334711763,12.5,18,0,"train"
"GCA_900101115","Cryobacterium psychrotolerans",22.3309236849877,8.84541142821415,30.3905423675377,21,27,4,"train"
"GCA_014200405","Cryobacterium roopkundense",16.0921721186398,1.69838455128611,24.4905046873626,16.5,18,0,"train"
"GCA_001571045","Curtobacterium ammoniigenes",32.8665131821728,19.5432549246385,41.0301874103908,21,37,15,"train"
"GCA_000419445","Gryllotalpicola ginsengisoli",34.5605475377465,22.0126760824414,44.0472314730688,33.5,42,25,"train"
"GCA_008831155","Gulosibacter chungangensis",29.9968584731003,13.4058884327122,38.3991656309542,37,40,15,"train"
"GCA_008040105","Lacisediminihabitans profunda",24.446528867592,11.7032124204359,32.3474834485819,27.5,30,4,"train"
"GCA_013408745","Leifsonia soli",30.2388848427403,16.3681698774347,39.1752030413465,30,35,10,"train"
"GCA_016758215","Leucobacter aridicollis",23.6397889699892,7.90161032351164,32.5076178390768,28,37,20,"train"
"GCA_016758255","Leucobacter chromiireducens",24.9736046456354,8.55072671360756,33.7323680038863,28,37,20,"train"
"GCA_004028235","Leucobacter muris",34.3842750704341,18.7956041002948,43.3808177813425,33.5,37,20,"train"
"GCA_017565705","Leucobacter ruminantium",31.638455709968,16.8605724998725,40.3695861483925,37,45,20,"train"
"GCA_017583045","Leucobacter tardus",28.1974289720489,11.0698203543447,36.7994451583933,26.3333333333333,37,4,"train"
"GCA_011046975","Microbacterium amylolyticum",30.3005097061717,14.7355782033955,38.8096150510683,28,37,10,"train"
"GCA_001974985","Microbacterium aurum",27.7784473958226,13.5150108854671,36.6138175400345,28,42,22,"train"
"GCA_014205075","Microbacterium ginsengiterrae",31.9646773504066,14.9014521111251,40.2901118553727,30,45,15,"train"
"GCA_008017415","Microbacterium hatanonis",27.3207489959252,11.7195501380203,35.6693013820152,29,37,10,"train"
"GCA_013409785","Microbacterium immunditiarum",35.7287833202795,20.3456095243914,43.8404537940582,30,37,15,"train"
"GCA_000422385","Microbacterium indicum",32.6614639114023,15.7398358712712,42.4903519152882,22,30,8,"train"
"GCA_015278285","Microbacterium invictum",29.8687322856206,13.8491164995545,38.3656961020726,25.75,37,10,"train"
"GCA_003991875","Microbacterium lemovicicum",28.4544391540557,12.9469513881127,36.6125428389898,30,37,15,"train"
"GCA_000422405","Microbacterium luticocti",31.0835250944764,17.806936539394,40.3013515315132,36,45,27,"train"
"GCA_019753765","Microbacterium marinilacus",29.8059033933493,13.2018306330898,38.9586161931023,26.5,38,12,"train"
"GCA_008017445","Microbacterium mitrae",26.9055736046063,9.94056667633354,34.0468471812587,30,37,15,"train"
"GCA_000763375","Microbacterium profundi",27.5897204891957,10.7619685480808,36.0782994226967,28,35,4,"train"
"GCA_007992455","Microbacterium saccharophilum",30.8399982328322,15.1186940718205,39.3146359036898,30,37,9,"train"
"GCA_003327285","Microbacterium sorbitolivorans",30.1705736175088,13.3311349787074,39.2125385308656,30,40,10,"train"
"GCA_003121305","Microbacterium ureisolvens",30.921765734502,15.0272759480094,39.5158164276618,31,37,15,"train"
"GCA_900104895","Microterricola viridarii",19.8216434642164,5.03252272788922,27.5679993373291,22.5,38,10,"train"
"GCA_003067705","Planctomonas deserti",27.4625285974008,11.9372137536352,35.7718354043707,29,37,8,"train"
"GCA_002950575","Pontimonas salivibrio",32.1753006611865,17.9164606049264,41.4095660190601,30,35,15,"train"
"GCA_003627075","Protaetiibacter intestinalis",27.9296144086238,12.5206693041369,36.414600783309,29,37,15,"train"
"GCA_013410545","Pseudoclavibacter chungangensis",29.6583417969494,14.2001392389442,38.1191904631005,30,50,4,"train"
"GCA_014191305","Pseudoclavibacter helvolus",22.806359538577,8.28964582844118,30.9511819573772,28.5,35,10,"train"
"GCA_014645015","Rhodoglobus xinjiangensis",16.4908214618642,2.60372976934705,23.7960354914125,18.5,23,4,"train"
"GCA_000189535","Arthrobacter phenanthrenivorans",26.6201654288495,12.1931463082947,35.8379744398625,29,37,4,"test"
"GCA_001046895","Arthrobacter siccitolerans",26.9681394291779,12.6492460901975,35.7780974301843,30,35,15,"test"
"GCA_009192745","Arthrobacter_B citreus",23.7060225299304,7.63428943057472,33.0717440101619,28,37,22,"test"
"GCA_004357995","Arthrobacter_D crusticola",22.7960582481485,8.48717111031598,31.725148063351,27.5,37,10,"test"
"GCA_016907495","Arthrobacter_D tumbae",20.9384276893033,4.79064371148952,29.3276371017164,26,37,4,"test"
"GCA_900099975","Arthrobacter_G cupressi",26.0221133434568,11.5312205930714,34.8452738617186,28,37,12,"test"
"GCA_003575975","Galactobacter valiniphilus",25.9327377614344,12.619548689616,36.1569752488615,30,37,15,"test"
"GCA_000786195","Kocuria rosea",36.7351352209599,20.9212640470044,46.4551134110978,28,37,20,"test"
"GCA_014204815","Micrococcus flavus",32.3031884339027,14.1701697546853,41.9654813831345,31,37,26,"test"
"GCA_014138885","Micrococcus luteus",31.6423915552071,13.7166068473122,41.3068609712027,28,45,4,"test"
"GCA_000421745","Nesterenkonia alba",34.1348325094198,17.7783233953101,45.5656495675544,39.5,50,20,"test"
"GCA_003595215","Nesterenkonia natronophila",26.797698748336,9.87781350241794,36.7434594181091,30,38,10,"test"
"GCA_019575955","Nesterenkonia pannonica",25.9520685778585,14.0639466500898,36.2520634420733,26.5,40,10,"test"
"GCA_014647595","Paenarthrobacter histidinolovorans",22.3026491195274,6.74184112689813,31.2203377167691,28,37,22,"test"
"GCA_001313365","Paenarthrobacter nitroguajacolicus",22.8196495615824,11.0404669220348,31.9804375937911,27.75,37,4,"test"
"GCA_012396615","Rothia terrae",26.9025272376225,11.5787794934992,36.6848252634591,35,40,15,"test"
"GCA_004919045","Sinomonas albida",27.6164243027562,13.5912785612719,36.7865664591977,30,40,10,"test"
"GCA_900105965","Specibacter alpinus",17.5001293765121,3.20684832334052,26.387323812933,22.5,25,1,"test"
"GCA_011045165","Specibacter silviterrae",19.0493077279446,4.33603516416264,28.8163098868121,29,33,4,"test"
"GCA_000420805","Yaniella halotolerans",24.0942149186196,5.17734779375588,34.3961945944562,28.5,40,10,"test"
"GCA_003074135","Euzebya tangerina",24.6586705931734,10.048163319436,32.745041819996,24,35,15,"train"
"GCA_003075095","Blastococcus litoris",30.0337906947626,14.5508935857917,38.7829864109309,32.5,45,4,"train"
"GCA_002938435","Blastococcus saxobsidens",29.802688970719,13.3635101983953,38.6103888297999,32,37,20,"train"
"GCA_900114385","Geodermatophilus ruber",33.4178619997108,17.4093135164229,42.2015346921816,26,40,10,"train"
"GCA_014195485","Modestobacter versicolor",25.6576607082656,10.1169680386007,34.7777297343975,25,30,4,"train"
"GCA_900129455","Jatrophihabitans endophyticus",20.5877876612414,8.40114105962944,28.6559371888627,25,32,10,"train"
"GCA_018324685","Actinocatenispora sera",33.810238390381,21.4055151052695,45.0041857881896,21.5,37,13,"train"
"GCA_016861995","Actinoplanes abujensis",28.0742369064208,15.4548744607102,37.5149552109977,27.5,37,20,"train"
"GCA_014646155","Actinoplanes endophyticus",27.4422613434303,15.0571355147659,37.834630906318,29,37,20,"train"
"GCA_016862395","Actinoplanes siamensis",31.0564451487357,18.3626745033152,40.2179207449703,27.5,40,25,"train"
"GCA_016862595","Catellatospora citrea",29.6688665254421,16.6731488474023,39.5174798544933,24.3333333333333,30,15,"train"
"GCA_000482705","Glycomyces arizonensis",34.0262467338915,19.7655055293552,44.5561573460992,28.25,37,20,"train"
"GCA_900102815","Glycomyces sambucus",33.045770180937,17.8700414525066,43.6409041329251,28.5,37,20,"train"
"GCA_024172085","Hamadaea flava",31.3817045822728,18.7057890194602,40.7522987849231,29,37,15,"train"
"GCA_018332675","Micromonospora arenicola",31.3739400758468,19.5064573344378,40.7597844873704,26,30,10,"train"
"GCA_900091435","Micromonospora chaiyaphumensis",36.7425151029028,22.9270466706567,46.8036220086061,27.5,45,25,"train"
"GCA_009671205","Micromonospora chaiyaphumensis",36.2603602413885,22.3218717219482,46.2048069515706,32,45,15,"train"
"GCA_018326245","Micromonospora endophytica",35.3371138461267,22.6455265745477,44.4752720232827,31.5,45,4,"train"
"GCA_900091565","Micromonospora marina",34.112636158791,20.4738585940783,43.6735558849979,27.5,45,15,"train"
"GCA_902825405","Micromonospora maritima",34.5310929129952,20.5724809300679,44.5763417902988,30,40,20,"train"
"GCA_900091555","Micromonospora mirobrigensis",35.37914865235,21.7068867875472,45.597702890015,28,37,20,"train"
"GCA_900091465","Micromonospora rhizosphaerae",38.5990122130231,24.1352610268533,47.6842521440636,34,40,10,"train"
"GCA_900089585","Micromonospora sediminicola",35.1682968506879,22.0724100297906,45.2082135454208,31,40,20,"train"
"GCA_016863575","Micromonospora sediminimaris",34.6193862443605,21.7455406704816,43.9126009452727,32.5,45,20,"train"
"GCA_002210435","Micromonospora wenchangensis",31.8329499785285,19.0762931997578,41.86641505562,32.5,45,16,"train"
"GCA_004331455","Micromonospora zingiberis",34.4514147280142,21.2814421124329,43.6349226464907,30,40,12,"train"
"GCA_900107255","Micromonospora_E pattaloongensis",36.2531376547021,22.2680687456727,45.1893096007375,27.5,40,25,"train"
"GCA_000011305","Corynebacterium efficiens",28.217484302355,11.5757768852977,36.4964174933664,35.6666666666667,45,15,"test"
"GCA_001571025","Corynebacterium humireducens",33.2904041402424,16.7714735100292,42.0809022735965,37,45,4,"test"
"GCA_000379425","Corynebacterium lubricantis",29.0929848997242,14.3243625680531,37.4316390084244,27.75,37,25,"test"
"GCA_000835165","Corynebacterium marinum",29.5801714587789,13.7863877875418,39.1995016709431,31,37,4,"test"
"GCA_003610395","Dietzia maris",29.2290275579895,13.8722481026899,38.492070369142,27.5,37,20,"test"
"GCA_014673215","Gordonia hankookensis",27.0298176204644,13.8961202438292,34.5736593745304,30,37,10,"test"
"GCA_000344135","Gordonia malaquae",24.4008272507951,12.3324455150148,32.3009183702762,28.75,37,22,"test"
"GCA_003797185","Gordonia oryzae",26.0197189000027,13.1381987157752,33.6651135287479,27.5,37,17,"test"
"GCA_000423025","Gordonia shandongensis",25.0308224694957,11.1698332633396,33.1678495932395,28.5,37,20,"test"
"GCA_014191505","Hoyosella altamirensis",28.2807173373642,15.257981133149,36.1269177646907,31,37,20,"test"
"GCA_014643175","Hoyosella rhizosphaerae",29.6688017476553,15.4111524891004,37.337041088418,32.5,42,20,"test"
"GCA_010723575","Mycobacterium bourgelatii",29.5886029744535,23.2256192884299,36.5797132161721,42,42,20,"test"
"GCA_001570425","Mycobacterium brisbanense",32.4717346211388,18.768504740916,41.3173156631691,31.5,42,28,"test"
"GCA_010730355","Mycobacterium florentinum",34.5536620877415,19.070401804751,41.6454292359818,31,37,25,"test"
"GCA_019645815","Mycobacterium heraklionense_B",26.1437295787901,13.3394232628761,33.3166009584156,31,37,25,"test"
"GCA_010731615","Mycobacterium insubricum",25.881117904767,12.0114688984095,33.8219140960467,34,37,25,"test"
"GCA_000759695","Mycobacterium kyorinense",37.3862703440609,23.7067677774465,45.7268305194282,36,42,28,"test"
"GCA_010731775","Mycobacterium mantenii",32.5512334127524,18.0863585462731,40.1184539343282,36,45,25,"test"
"GCA_003584745","Mycobacterium marinum",25.8550784581844,16.0050982252415,33.4317403095237,24,37,23,"test"
"GCA_002102255","Mycobacterium nebraskense",35.2780463360982,21.7166118254177,43.3421779807683,32.5,37,25,"test"
"GCA_010730575","Mycobacterium parmense",33.0612928408433,21.0996234442775,40.8773808858571,34,37,25,"test"
"GCA_000612885","Mycobacterium porcinum",30.4870756890513,16.0471506573594,39.2264961197303,30.5,37,25,"test"
"GCA_002101845","Mycobacterium riyadhense",24.8734521797457,14.2003570971574,31.7264449021534,36.5,45,24,"test"
"GCA_900108565","Mycobacterium rutilum",32.2918756532181,17.6165159063903,41.279088010553,37,45,28,"test"
"GCA_010729105","Mycobacterium saskatchewanense",34.4523218446425,21.7498954575182,42.0378560975954,34,37,25,"test"
"GCA_001612685","Nocardia altamirensis",29.2507813564472,17.7033022167318,37.9459226089369,29,37,25,"test"
"GCA_000308815","Nocardia concava",32.1448675232476,19.4426774409192,40.9845594166908,32.5,44,28,"test"
"GCA_001612845","Nocardia elegans",31.8884038814945,18.8819959325709,40.3218487955497,32,42,22,"test"
"GCA_001613445","Nocardia grenadensis",32.0975321410346,18.3882616116478,40.9281517614405,27.5,37,25,"test"
"GCA_001613145","Nocardia jejuensis",27.7059479059786,14.551030253984,36.0022500700566,31.6666666666667,37,10,"test"
"GCA_000308615","Nocardia jiangxiensis",30.3585384616115,17.7154215280619,38.702706042277,27,37,17,"test"
"GCA_014645735","Nocardia jinanensis",30.3225146686816,16.0436690789448,38.9515285612518,27,37,15,"test"
"GCA_001886715","Nocardia mangyaensis",27.1255771323646,13.8513185213857,35.5132028327891,28,38,10,"test"
"GCA_001613505","Nocardia mikamii",30.4214190471998,17.8935506791014,38.895309447055,35,45,25,"test"
"GCA_001613065","Nocardia miyunensis",30.5182615760683,17.9011568957807,38.900087221749,27,37,17,"test"
"GCA_007990735","Nocardia neocaledoniensis",27.1892317680514,14.1966216908197,35.896863611531,27.75,45,10,"test"
"GCA_001613365","Nocardia xishanensis",31.3735191999321,18.1319316813159,39.3385321396644,30,38,22,"test"
"GCA_900111805","Rhodococcus kroppenstedtii",27.7673964574048,14.3325139435089,37.10262330691,29,37,10,"test"
"GCA_900188125","Rhodococcus kyotonensis",23.8098365558937,7.79274146681211,32.2438004757332,28.5,37,10,"test"
"GCA_014217785","Rhodococcus triatomae",29.5396852695472,15.4189880256714,38.1764554841384,30,42,22,"test"
"GCA_001895005","Rhodococcus yunnanensis",21.7386031396178,7.76074598441022,30.5368339512203,29,40,10,"test"
"GCA_000380645","Smaragdicoccus niigatensis",27.387791490896,13.8176988359691,34.0762573462394,24.25,37,4,"test"
"GCA_001575205","Tsukamurella pseudospumae",31.5772040003024,17.8186465393285,40.7860674432024,25.75,37,10,"test"
"GCA_001575215","Tsukamurella pulmonis",31.8018431957387,17.4326978765711,40.9387065543725,31,45,25,"test"
"GCA_001575225","Tsukamurella tyrosinosolvens",30.446618222605,16.7978319078094,39.9649817755438,30,45,10,"test"
"GCA_024171815","Williamsia_A maris",19.9019708429272,9.02329612891876,28.1281693880518,28,37,10,"test"
"GCA_003260015","Nakamurella deserti",21.1168458313011,7.79007086866207,30.0542537497664,29,35,8,"train"
"GCA_021026375","Actinomycetospora endophytica",24.0212294179488,9.57136835050563,33.6588478007987,22.5,30,15,"train"
"GCA_004364325","Actinophytocola oryzae",25.4194406027226,11.4219761085205,34.5280559369035,23,30,12,"train"
"GCA_000384035","Actinopolyspora mortivallis",32.7685833144229,19.3003766481774,41.5595293372643,45,45,45,"train"
"GCA_016907655","Actinosynnema algeriense",33.5336508683144,21.3323177946399,43.3248166758079,31.5,45,18,"train"
"GCA_007713745","Amycolatopsis acidiphila",33.1246692905282,17.9508814434707,42.5399831927648,30,40,15,"train"
